nodeName	altName	nodeAttr[nodesPresent, ]
PFDN4	PFDN4	turquoise
MFN1	MFN1	turquoise
TDG	TDG	turquoise
PIR-FIGF	PIR-FIGF	turquoise
VEGFD	VEGFD	turquoise
PTTG1	PTTG1	turquoise
TTK	TTK	turquoise
CKS1B	CKS1B	turquoise
GMFB	GMFB	turquoise
SNRPD1	SNRPD1	turquoise
CCNB2	CCNB2	turquoise
SKP2	SKP2	turquoise
EIF4EBP1	EIF4EBP1	turquoise
MCM6	MCM6	turquoise
EZH2	EZH2	turquoise
RTCA	RTCA	turquoise
DEK	DEK	turquoise
KPNA2	KPNA2	turquoise
MSH6	MSH6	turquoise
PCNA	PCNA	turquoise
PDCD10	PDCD10	turquoise
USP1	USP1	turquoise
AOC3	AOC3	turquoise
CBX3	CBX3	turquoise
AGFG1	AGFG1	turquoise
DARS1	DARS1	turquoise
UBE2V2	UBE2V2	turquoise
NDC80	NDC80	turquoise
MCM2	MCM2	turquoise
RAD51AP1	RAD51AP1	turquoise
FBLN5	FBLN5	turquoise
CAPN3	CAPN3	turquoise
BUB1	BUB1	turquoise
HMMR	HMMR	turquoise
ATAD2	ATAD2	turquoise
CCNE2	CCNE2	turquoise
RPL39L	RPL39L	turquoise
NCAPG	NCAPG	turquoise
FKBP3	FKBP3	turquoise
RPAP3	RPAP3	turquoise
CCT6A	CCT6A	turquoise
TNXA	TNXA	turquoise
TNXB	TNXB	turquoise
TMPO	TMPO	turquoise
FANCI	FANCI	turquoise
EEF1E1	EEF1E1	turquoise
GTF3C3	GTF3C3	turquoise
KIF20A	KIF20A	turquoise
UBA2	UBA2	turquoise
HELLS	HELLS	turquoise
MRPL15	MRPL15	turquoise
NAA50	NAA50	turquoise
VRK1	VRK1	turquoise
CCNA2	CCNA2	turquoise
TOPBP1	TOPBP1	turquoise
TPRKB	TPRKB	turquoise
DBF4	DBF4	turquoise
TCF21	TCF21	turquoise
ACP1	ACP1	turquoise
LRPPRC	LRPPRC	turquoise
LMNB1	LMNB1	turquoise
SSBP1	SSBP1	turquoise
NRAS	NRAS	turquoise
ACTR6	ACTR6	turquoise
CDC6	CDC6	turquoise
DONSON	DONSON	turquoise
NUP155	NUP155	turquoise
H2AX	H2AX	turquoise
PAWR	PAWR	turquoise
OIP5	OIP5	turquoise
DNM1L	DNM1L	turquoise
KIF2C	KIF2C	turquoise
PUS7	PUS7	turquoise
NCAPG2	NCAPG2	turquoise
MCM5	MCM5	turquoise
LSM5	LSM5	turquoise
NDC1	NDC1	turquoise
CDC7	CDC7	turquoise
PSMD14	PSMD14	turquoise
RANBP1	RANBP1	turquoise
NME1	NME1	turquoise
KIF2A	KIF2A	turquoise
HDAC2	HDAC2	turquoise
METTL5	METTL5	turquoise
HSPE1	HSPE1	turquoise
ACTL6A	ACTL6A	turquoise
UCHL3	UCHL3	turquoise
MRPS17	MRPS17	turquoise
ELOC	ELOC	turquoise
SAC3D1	SAC3D1	turquoise
SSB	SSB	turquoise
TUBG1	TUBG1	turquoise
RFC5	RFC5	turquoise
RRM1	RRM1	turquoise
NUP37	NUP37	turquoise
MCM7	MCM7	turquoise
MRPL42	MRPL42	turquoise
